Ground Truth,Prediction
stop,sattva
fai una telefonata,vairope contatto
muovi,lap
zero,lap
uno, Pulao
mali,mali
chiudi applicazione, you get the feeling
bue,bueh
tra,च्च्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्�
fai una telefonata, right over there
si,
sette,sate
cancella tutto,cancella tutto!
sopra,sopra
raggiungi,raji hujti
nuovo contatto,nuovo contatto
scendi,sali!
muto,muto
otto,otto
no,no
richiama,richiama ultimo numero 3 chiamate ultimo numero 2 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo
deseleziona,deselepila
vai nel registro chiamate, nai nai registra chiamatev
sotto,sotto
sei,
disattiva vivavoce,vivavocevai alla tastiera principale della rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2
uno,uno
sali,sali
vai nei preferiti,mali precalipe
chiudi rubrica, judi rubrica 2.0
vai nella rubrica,vai larubrika
chiudi,kiudi
stop,stop
salva,saya
attiva vivavoce,attiva vivavocemti alla tastiera principale della rubrica 2dv 3dv 3dv 3dv 3dv 3dv 3dv 3dv 3dv 3dv 3dv 3dv 3dv 3dv 3dv 3dv 3dv 3dv 3dv 3dv 3dv 3dv 3dv 3dv 3dv 3dv 3dv 3dv 3dv 3dv 3dv 3dv 3dv 3dv 3dv 3dv 3
aggiungi,aggiungi
chiama, च्यालच्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्�
zero,अः
sezione,sipli
muovi,mali
termina chiamata,termina chiamata
seleziona,sette lene
rimuovi,rimuovi
rubrica,rubrica
chiama emergenza, yama energizer
chiama ultimo numero, याःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
cella, PRACTICE PART 2
cancella,tanta
vai alla tastiera,vairo chastriya
preferiti,laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki laki
scorri verso il basso, त्द्दिःःद़वाच्द
nove,novec
apri rubrica,apriya rubrica 2
vivavoce,mila ko chendi
scorri verso l’alto,scorri verso l alto
cinque,si
terminare,tastinali
zelo,zero
tastiera,apriyaana
scesi,sali
apri,aggi
quattro,lap
aggiungi ai preferiti,aggiungi preferiti
due,due
vai alla pagina principale,nai alla pagina principali.
indietro,india.com
top,top
tre, POP
chiamata, yamata
nave,nali
cancella contatto,cancella contatto
chiamata,quattro
cancella tutto,cancella tuturor.
vai alla tastiera,vai alata skena
sali,sali
chiama emergenza, च्याःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः�
indietro,indietro
seleziona,settele
cella,sali
stop,stop
scendi,sali
zero,ःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
chiudi applicazione, त्योडिःःट्ट्योई
scorri verso il basso, guri bachalbacho
tra,च्च्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्�
nuovo contatto, you more contatto
bue,bueh
scorri verso l’alto,scorri verso l alto
tastiera,sana
attiva vivavoce,attiva vivavocechiudi rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica 2sali rubrica
vai alla pagina principale, like ala conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti conti cont
mali,mali
vivavoce,viiva voceviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviiviivi
chiudi rubrica, you rubrica
aggiungi ai preferiti,aggiungi ai preferiti
sezione,sipliti
vai nel registro chiamate," like , share , like , comment"
cancella,tastin
cancella contatto,cancella contatto
sei,
uno,uno
chiama, yalla
raggiungi,rappuri
chiudi,kiudi
muto, ok
scesi,sali
otto,ata
zelo, there
apri rubrica,apri rubrica 2.0
rubrica,rubrica
rimuovi,rimali
apri,
fai una telefonata,tai muttelefono
terminare,tastinai
aggiungi,aggiungi
cinque,cinque
sopra,sopra
sette,sette
richiama,richiama ultimo numero 3 chiamate ultimo numero 2 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo
no,NYEAH
nave,lava
deseleziona,deselezhiyebhiyebhiyebhiyebhiyebhiyebhiyebhiyebhiyebhiyebhiyebhiyebhiyebhiyebhiyebhiyebhiyebhiyebhiyebhiyebhiyebhiyebhiyebhiyebhiyebhiyebhiyebhiyebhiyebhiyebhiyebhiyebhiyebhiyebhiyebhiyebhiyebhiyebhiyebhiyebhi
vai nella rubrica,vai larukriya
vai nei preferiti,vaiṃapriyaṃtiṃ
muovi,lali
top,top
tre, uh
disattiva vivavoce,misa vivavoce
quattro,lap
salva,sali
si,
termina chiamata,termina chiamata
chiama ultimo numero, अःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
nove,novecchi
sotto,sottochiudi rubrica 2sottochiudi rubrica 2sottochiudi rubrica 2sottochiudi rubrica 2sottochiudi rubrica 2sottochiudi rubrica 2sottochiudi rubrica 2sottochiudi rubrica 2sottochiudi rubrica 2sottochiudi rubrica 2sottochiudi rubrica 2sottochiudi rubrica 2sottochiudi rubrica 2sottochiudi rubrica 2sottochiudi rubrica 2sottochiudi rubrica 2sottochiudi rubrica 2sottochiudi rub
due,due
preferiti,deselects
seleziona,seleziona rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rubrica 2v2 rub
quattro,अप्च्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट
vai nel registro chiamate,vaii neshi tamata
vai nella rubrica, ಎದ
top, uh
apri,apri
apri rubrica 2,apri rubrica 2
vai alla pagina principale,vai apai mritapai
tre,tapu
zelo, अच्टेएएःएःएःएःएःएःएःएःएःएःःएःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
scorri verso il basso, more in this episode
chiudi rubrica, you get the rate
cinque,si
nave,nave
chiudi applicazione, yudi api tasebhi
sopra,sana
sette,fattig
due,duevaij
attiva vivavoce,apriya gaujti
disattiva vivavoce,
apri rubrica 3,aprile
muovi,mali
rubrica,dueviya
chiama emergenza,ःःःःःःःःःःःःःःःःःःःःःःःःःः
rimuovi,ali
chiama ultimo numero, yada lukti lali
raggiungi, lali rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri rubri
aggiungi,aggiungi
salva,
nuovo contatto, you are welcome to watch
nove,novec
vai nei preferiti,vaii naiya saliti
richiama,tada
sotto,sata
sali,aggi
vivavoce,miraochi
cancella contatto, अच्याल्च्छाएच्छाएच्छाएच्छाएच्छाएच्छाएच्छाएच्छाएच्छाएच्छाएच्च्च्च्च्च्च्च्च्च्च्च
deseleziona, ಎದ
cancella,aksali
scorri verso l alto,sali
cella,tela
no,tastelovi
scendi,
sei,s
uno,quattro
zero,s
stop,tap
terminare,tastu
sezione,
fai una telefonata, more in the next video
aggiungi ai preferiti,aggiungi ai hesiti
chiamata,च्दददददददददददददददददददददददददददददददददददददददददददददददददददददददददददद�
cancella tutto, अच्च्ट्ःःअःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः�
mali,nali
preferiti,sali
indietro,indieta
otto,ata
muto,due to
esci da rubrica,disattiva vivavocevamo vivavocevamo vivavocevamo vivavocevamo vivavocevamo vivavocevamo vivavocevamo vivavocevamo vivavocevamo vivavocevamo vivavocevamo vivavocevamo vivavocevamo vivavocevamo vivavocevamo vivavocevamo vivavocevamo vivavocevamo vivavocevamo vivavocevamo vivavocevamo vivavocevamo vivavocevamo vivavocevamo viv
termina chiamata, yai rengi laap
tra,
bue,bueh
si,
chiama,tastin
vai alla tastiera,vaii avapasiya
apri rubrica 1,apri rubrica 2
chiudi,suri
scesi,
tastiera, ಎ
seleziona,
indietro, more detail
scesi,sali
termina chiamata, अच्ददददददददददददददददददददददददददददददददददददददददददददददददददददददददददद�
stop,tap
chiamata,tapu
apri rubrica 1,apri rubrica 2
zero,tasterovairovairovairovairovairovairovairovairovairovairovairovairovairovairovairovairovairovairovairovairovairovairovairovairovairovairovairovairovairovairovairovairovairovairovairovairovairovairovairovairov
sali,sali
disattiva vivavoce, ಎದ
tastiera, अच्च्ट्ःःअःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः�
vai nei preferiti,vaii nai keselezhi
rimuovi,tastu
rubrica,tastuvii
cancella tutto, अच्यएएएएएएएएएएएएए
scorri verso l alto, च्योःईट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्�
tre,tapu
otto,apriya
muto,Ubata
vai nella rubrica,vaiṃn
top,top
cella,sali
vivavoce,
raggiungi,aggiungi
esci da rubrica, more
cinque,siñra
due,due
quattro,mata
deseleziona, ಎದ
cancella, अच्यद
scorri verso il basso,asku vivi basthi
mali,mali
nuovo contatto,ali
sotto,sata
attiva vivavoce, ಎದ
aggiungi,aggivani
nave,lap
si,
vai alla pagina principale, more of the video is coming soon
fai una telefonata,vai ura telefonata
richiama,mr.i.b.i.d.
apri rubrica 3,aprile
bue,bueh
chiama emergenza, yama analiz analiz
vai alla tastiera, more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more.. more..
aggiungi ai preferiti, more video
tra,अः
salva,
zelo, n
chiama, yalla
apri,apiti
terminare,tastilyali
muovi,mali
chiudi, yudi
no, yo
chiudi applicazione, yudi api kasiya n
nove,nove
chiudi rubrica, you can make it
cancella contatto, lakiya kontata
chiama ultimo numero, yalla okrava okrava okrava okrava okrava okrava okrava okrava okrava okrava okrava okrava okrava okrava okrava okrava okrava okrava okrava okrava okrava okrava okrava okrava okrava okrava okrava okrava okrava okrava okrava okrava okrava okrava okrava okrava okrava okrava okrava okrava okra
sezione,
sopra,top 3
vai nel registro chiamate, ಎದ
preferiti,tasturiti
sette,sette
uno,vuella
scendi, uh-huh
sei,sali
apri rubrica 2,apri rubrica 2
due,due to it
nove,च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्�
quattro,अच्द्द
vai nei preferiti,vai nahi prasali chiti
aggiungi,Ajvaijiti
chiudi rubrica, you'll get away with it
apri rubrica 2, अच्ट्द्ददिःट्द
deseleziona, ಎ
chiama ultimo numero, yana uchi ana lukti
tre,
preferiti,tasturiti
aggiungi ai preferiti,apriyaasaliya
cinque,
vai nel registro chiamate,vaii nescivati
top,top
richiama, ಎದ
sopra,sopraise
sette,sette
nave,njali
rimuovi,tastin lali
rubrica,due to it
salva,sala
terminare,terminare
vai alla pagina principale,vaiyavattakivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivaktivakt
attiva vivavoce,
nuovo contatto, more more contatto
muovi,mali
chiudi applicazione, ಎದ
vai nella rubrica,vaiṃn
sotto,sata
fai una telefonata,vaivaii vaii vaii vaii vaii vaii vaii vaii vaii vaii vaii vaii vaii vaii vaii vaii vaii vaii vaii vaii vaii vaii vaii vaii vaii vaii vaii vaii vaii vaii vaii vaii vaii vaii vaii vaii vaii vaii vaii vaii vai
apri,apri
apri rubrica 3,apri rubrica 2
chiama emergenza, yada indi yada indi yada indi yada indi yada indi yada indi yada indi yada indi yada indi yada indi yada indi yada indi yada indi yada indi yada indi yada indi yada indi yada indi yada indi yada indi yada indi yada indi yada indi yada indi yada indi yada indi yada indi yada indi yada indi yada indi yada indi
zelo, jairo
esci da rubrica, अच्ट्ःएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएए
muto, more
otto,ata
chiamata, yanaata
uno,mata
no, more
vai alla tastiera, more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more
sei,si
indietro,
sezione,sezione
raggiungi, nadiyaṃ jiti
mali,ali
tastiera, अच्ट्ट्ःःअःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः�
cella,tela
scendi,sali
termina chiamata, yamnaika
apri rubrica 1,apriya rubrica 2
vivavoce,mina chiti
bue,buehue
tra,tap
zero,एद
si,si
scorri verso l alto, अच्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च
stop,top 2
cancella tutto,cancella tutto!
chiama, अःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
sali,sali
cancella,cancella tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto
chiudi,si lukti
scesi,
scorri verso il basso, अप्च्ददेःदद्दिःदद
disattiva vivavoce, ಎದ
cancella contatto, okla
seleziona,sezione alla tastiera principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale principale princip
vai alla pagina principale,anyapatiya shiti ta
richiama,tatt gangen til å ta bort denne videoen.
scendi,
tre, uh
sezione,
top,top
aggiungi ai preferiti,aggiungi ai teriti
mali,nave
disattiva vivavoce, ಎದ
nuovo contatto,novecatech
due, yoi
otto,
aggiungi, ಎದ
cella,sela
muto,
chiama emergenza, अःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
cancella contatto,cancella contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto cont
raggiungi,razi m
apri rubrica 3,apriyaṃtataṃ
vai alla tastiera, ಎದ
sali,tasteligfattigfattigfattigfattigfattigfattigfattigfattigfattigfattigfattigfattigfattigfattigfattigfattigfattigfattigfattigfattigfattigfattigfattigfattigfattigfattigfattigfattigfattigfattigfattigfattigfattigfattigfattigfattigfattigfattigfattigfattig
chiama,च्याःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
chiudi rubrica,
chiudi,siudi
esci da rubrica, ಎದ
apri rubrica 2,apri rubrica 2
seleziona,
scorri verso l alto,square yourself
zero,
stop,
scesi,
tastiera, ಎದ
cinque,si
apri rubrica 1, ಎದ
termina chiamata, अःःःःःःःःःःःःःःःःःःःःःःःःः
fai una telefonata,fairola contatto
si,
indietro,
deseleziona, तेशन्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्
sopra,
cancella tutto, अच्ट्दद्ददद
quattro,MASU
preferiti,tasturiti
nove,nori
sette,sopraptor
uno, ಎದ
chiamata,
sei,saii
attiva vivavoce,apriya vivasiti
vai nella rubrica,vai renapriya vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai
vai nel registro chiamate, ಎ
terminare,tastignava
no,
vai nei preferiti, ಎದ
muovi,
scorri verso il basso,scorri bassoitt
apri,aggi
zelo, ಎದ
salva,
cancella, अच्यल
nave, ಎದ
chiama ultimo numero, yana bhikayo yopi
tra,tap
bue,
vivavoce,ila vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi viv
chiudi applicazione, yudi api kasi yudi
sotto,
rimuovi,
rubrica,अभ्च्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट
apri rubrica 2, अख्छेंःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः�
bue,l
fai una telefonata,vairolic
tra,अः
esci da rubrica, Esiailmuita.
cancella, अच्येला
chiudi applicazione, yudi apichasebune
preferiti,च्रद्द्दिःट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्�
scendi,sali
sezione,tasturri
chiama ultimo numero, yana ulti lukti lukti lukti lukti lukti lukti lukti lukti lukti lukti lukti lukti lukti lukti lukti lukti lukti lukti lukti lukti lukti lukti lukti lukti lukti lukti lukti lukti lukti lukti lukti lukti lukti lukti lukti lukti lukti lukti lukti lukti
nove, ಎದ
vai nel registro chiamate,vai ren
vivavoce,ali
cella,tattakker
chiudi rubrica, ಎದ
si,
vai nei preferiti,vai nasi
chiama emergenza, more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more
vai alla pagina principale,vaiyama pagi apiti pagi
uno,quickly
chiama, अःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
chiudi, yudi
vai nella rubrica,vai nahi rubrica 3.0
tastiera,
zelo,tastairo
sei,salt
apri,apri
apri rubrica 3,apri rubrica 2
no,
chiamata,innappa
nave,snave
scorri verso il basso, च्योई अच्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्�
nuovo contatto, तिवःःएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएए�
terminare, अच्दददिःदद
scesi,
indietro, niti
disattiva vivavoce,zenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezenezene
termina chiamata, अःए नच्छःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः�
cinque,
raggiungi, laliwanzi
scorri verso l alto,ali rense lanka
mali,navi
sopra,sopra
sette,soppa!
quattro,quattro
muto,bata
otto,otto
vai alla tastiera," right now, this is a lot of shit"
aggiungi ai preferiti, more
sali,ali
cancella tutto,akella tutto
muovi,muovi
deseleziona,deselezhiyo nasi
seleziona,sali
due,due
attiva vivavoce, ಎ
salva,sali
cancella contatto, ok let's go inside
richiama, ಎದ
apri rubrica 1,apri rubrica 2
tre,
sotto,
rimuovi, ಎ
rubrica,tasturbeka
aggiungi,aggi venci
stop,top
top,tapu
zero,s
indietro, ಎದ
disattiva vivavoce, अच्छाएएप्ट्ःःएएच्ट्ःएच्ट्ःएच्ट्ःएच्ट्ःएच्ट्ःएच्ट्ःएच्ट्ःएच्ट्ःएच्ट्ःएच्ट्ः
vai nella rubrica,vai negati vivi
scendi,sali
chiamata,tastu
nove,nori
cella,tela
tastiera,tastiera
chiama ultimo numero, okra no matter what
preferiti,tastagiti
aggiungi ai preferiti,aggi vandevati
scesi,
deseleziona,
scorri verso l alto, श्कृःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
chiama, yalla
vivavoce,lila guvati
termina chiamata,termina china china china china china china china china china china china china china china china china china china china china china china china china china china china china china china china china china china china china china china china china china china china china china china china china china china china china china china china china china china china china china
due,due
cancella tutto, okra chata
nave,nav
chiudi, yudi
terminare,tasturnavai
zelo, jelo
top,top
apri,apri
esci da rubrica, अश्विःएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएएए
apri rubrica 1,apri rubrica 2
sezione,
vai nei preferiti,anyeshi
tre,tap
cancella, अच्छ
aggiungi, n
fai una telefonata, ಎದ
cinque,trykk meg
apri rubrica 2,apriya vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva viv
cancella contatto,cancella contatto
vai nel registro chiamate,vaii viviis terapiai nata
muto, nubrahtta
tra, uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh
bue,bueh
sette,sette
sopra,sopraitti
otto,apriya
scorri verso il basso,seksua katsotaan.
rubrica,tasturnavastriya
rimuovi,aggi koi
chiudi rubrica, yukti rubrica 2.0
mali, ಎದ
richiama, अच्याल्च्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्�
attiva vivavoce,aggi laguni
si,si
raggiungi,rajoendi
sei,sette
stop,stoppa
vai alla pagina principale, more alapag
apri rubrica 3,apriya rubrica 2
quattro, ಎದ
chiudi applicazione, ಎದ
zero,tatt
sotto,sata
uno, ಎದ
nuovo contatto,nuovo kata
seleziona,
salva,sali
chiama emergenza, yarende keesu
no,ya
vai alla tastiera, right on the left
sali,sali
muovi,mali
sei,
terminare,tastu
scendi,sana
quattro,lap
scorri verso l alto,
uno,अःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
cancella contatto,ईःद़दददद
scesi,
attiva vivavoce,apriya vivavojti
nove,navai
cancella tutto, okrapper
disattiva vivavoce, ಎದ
aggiungi ai preferiti,aggiya paraplegi
apri,च्प्प्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्�
aggiungi, c
zelo, lalak
chiama, more
vai alla pagina principale,vaiya baiya baiya
vai alla tastiera,vai ala ekli
deseleziona, कृःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
chiudi,
bue,muto
rubrica,tastu
tra,tata
rimuovi,tasturnavaijata
richiama,quattro
apri rubrica 1,apri rubrica 2
chiama emergenza, चदःपःदःद
preferiti,tastu
cella,faii la
nave,navn
mali,n
cinque,si
apri rubrica 2,apri rubrica 2
muovi, 1
